source_url,source_path,clicks,impressions,position,mapped_target,mapping_status,top_queries,priority_score
"https://khangvuongbooking.com/vietjet-air-mo-duong-bay-thang-tu-ho-chi-minh-di-nagoya-fukuoka/","/vietjet-air-mo-duong-bay-thang-tu-ho-chi-minh-di-nagoya-fukuoka","0","219","36.054794520547944","/hang-bay","mapping_defined_unverified","vé máy bay đi nagoya | vé máy bay đi nagoya nhật bản | chuyến bay tp. hồ chí minh nagoya | giá vé máy bay tp. hồ chí minh nagoya","219"
"https://khangvuongbooking.com/dat-mua-ve-may-bay-japan-airlines-di-dallas-texas/","/dat-mua-ve-may-bay-japan-airlines-di-dallas-texas","0","215","49.03720930232558","/ve-may-bay","mapping_defined_unverified","vé máy bay đi dallas | vé máy bay đi mỹ texas | vé máy bay đi dallas-fort worth | japan to texas | xin tên","215"
"https://khangvuongbooking.com/ve-may-bay-da-nang-di-dai-bac-dai-loan-gia-re/","/ve-may-bay-da-nang-di-dai-bac-dai-loan-gia-re","0","213","41.82629107981221","","needs_mapping_review","vé máy bay đà nẵng đi đài loan | vé máy bay đà nẵng đài loan | vé máy bay từ đà nẵng đi đài bắc | vé máy bay đài loan đà nẵng | vé máy bay đà nẵng đi đài loan vé máy bay đi đài bắc","213"
"https://khangvuongbooking.com/wp-content/uploads/2018/07/1450202_586194808118709_388579283_n-1-Copy.jpg","/wp-content/uploads/2018/07/1450202_586194808118709_388579283_n-1-Copy.jpg","0","2","14","","needs_mapping_review","photo giấy tờ","212"
"https://khangvuongbooking.com/dat-ve-may-bay-ha-noi-di-boston-my-thang-7/","/dat-ve-may-bay-ha-noi-di-boston-my-thang-7","0","211","43.40284360189573","/ve-may-bay","mapping_defined_unverified","vé máy bay đi boston | vé máy bay từ hà nội đi boston | site:khangvuongbooking.com","211"
"https://khangvuongbooking.com/vietjet-air-mo-ban-2-trieu-ve-0-dong-phuc-vu-duong-bay-mua/","/vietjet-air-mo-ban-2-trieu-ve-0-dong-phuc-vu-duong-bay-mua","0","208","65.3125","/cam-nang-bay","mapping_defined_unverified","vé máy bay 0 đồng | vietjet 0 đồng | săn vé 0 đồng | vé 0 đồng vietjet | vietjet vé 0 đồng","208"
"https://khangvuongbooking.com/dat-ve-may-bay-sai-gon-tp-hcm-di-austin-my-thang-7/","/dat-ve-may-bay-sai-gon-tp-hcm-di-austin-my-thang-7","0","152","29.43421052631579","","needs_mapping_review","vé máy bay đi austin","207.65789473684208"
"https://khangvuongbooking.com/ve-may-bay-di-dai-trung-dai-loan/","/ve-may-bay-di-dai-trung-dai-loan","0","205","42.71707317073171","","needs_mapping_review","đặt vé máy bay đi đài trung | vé máy bay đi đài trung | hình ảnh vé máy bay đi đài loan | vé máy bay đi đài trung đài loan | vé máy bay đi đài loan bao nhiêu tiền","205"
"https://khangvuongbooking.com/ve-may-bay-ho-chi-minh-di-perth-uc/","/ve-may-bay-ho-chi-minh-di-perth-uc","0","197","39.40609137055838","","needs_mapping_review","vé máy bay đi perth | vé máy bay đi perth úc | vé máy bay hà nội perth | vé máy bay perth sài gòn | sân bay perth","197"
"https://khangvuongbooking.com/gia-ve-may-bay-ha-noi-di-houston-iah-my-thang-11-12/","/gia-ve-may-bay-ha-noi-di-houston-iah-my-thang-11-12","0","151","30.543046357615893","","needs_mapping_review","vé máy bay đi houston | vé may bay từ hà nội đi houston | vé máy bay đi texas | sân bay houston texas | vé máy bay từ houston về việt nam","195.56953642384107"
"https://khangvuongbooking.com/dat-ve-may-bay-sai-gon-tp-hcm-di-atlanta-my-thang-8/","/dat-ve-may-bay-sai-gon-tp-hcm-di-atlanta-my-thang-8","0","80","23.625","","needs_mapping_review","vé máy bay đi atlanta | atlanta | ve di my thang 8","193.75"
"https://khangvuongbooking.com/dat-mua-ve-may-bay-sai-gon-di-los-angeles-my/","/dat-mua-ve-may-bay-sai-gon-di-los-angeles-my","0","140","29.764285714285716","/ve-may-bay","mapping_defined_unverified","vé máy bay đi los angeles | vé máy bay sài gòn los angeles | vé máy bay los angeles sài gòn | vé máy bay đi mỹ california | ve may bay di los angeles","192.35714285714283"
