"legacy_url","new_url","status_code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/administrator/login.aspx","https://khangvuongbooking.com/cam-nang-bay","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-bay-ngay-chau-uc-chi-tu-113-usd-ve-mot-chieu","https://khangvuongbooking.com/cam-nang-bay","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-bay-ngay-thai-lan-vui-tet-hoanh-trang","https://khangvuongbooking.com/cam-nang-bay","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-bay-thai-lan-don-tet-songkran-2016-chi-tu-8-usd","https://khangvuongbooking.com/cam-nang-bay","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-bung-no-ve-0-dong-bay-ngay-malaysia-cuc-uu-dai","https://khangvuongbooking.com/khuyen-mai","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-dai-khuyen-mai-mo-ban-3-trieu-ve-0-dong-sieu-re","https://khangvuongbooking.com/khuyen-mai","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-dai-khuyen-mai-mua-sale-giam-50-ve-sieu-re","https://khangvuongbooking.com/khuyen-mai","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-danh-bai-moi-khuyen-mai-voi-ve-mot-chieu-sieu-re-chi-tu-36-usd","https://khangvuongbooking.com/khuyen-mai","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-danh-bai-moi-km-bang-uu-dai-ve-16-usdchieu-bay-chau-a","https://khangvuongbooking.com/khuyen-mai","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://khangvuongbooking.com/air-asia-gia-soc-dau-nam-chi-tu-7-usd-mot-chieu","https://khangvuongbooking.com/cam-nang-bay","301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
