asset_path,usage_count,referenced_by,target_origin,status
"/manus-storage/cabin-board-egyptair-v2_6d68ad30.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-emirates_5c56e48b.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-ethiopian-airlines_236c551e.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-etihad-airways_f67ab0cb.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-eva-air_d62f9e1d.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-finnair-v2_4a2907ea.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-garuda-indonesia_98cbb8de.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-gulf-air-v2_1f9ab782.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-hainan-airlines_8be4363a.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-hk-express_f2fe814c.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-hong-kong-airlines-v2_2d54f6e8.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-indigo_a6cf0afe.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-japan-airlines_397f4732.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-jetstar-airways_5e43d3fc.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-kenya-airways_26be3732.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-klm-v2_12213757.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-korean-air_66be602c.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-kuwait-airways-v2_5b063b47.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-lion-air-v2_73a41316.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-lot-polish-airlines-v2_0b8e78e1.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-lufthansa-v2_ae74db2a.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-malaysia-airlines-v2_cbaf3cff.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-oman-air-v2_1edb10b6.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-peach-aviation_9833b554.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-philippine-airlines-v2_503dc636.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-qantas-v2_09c20ffd.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-qatar-airways_5579aa91.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-saudia-v2_c91db16a.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-scoot_566f01bf.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-shanghai-airlines-v2_05750c4e.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
"/manus-storage/cabin-board-sichuan-airlines_0b22c723.png","1","app/airline-cabin-assets.ts","NEXT_PUBLIC_STATIC_ASSET_ORIGIN","pending_upload_to_kvbk_project"
