source_url,source_path,clicks,impressions,ctr,position,mapping_defined,mapped_target,http_status,runtime_target,mapping_status,query_count,top_queries
"https://khangvuongbooking.com/mua-them-hanh-ly-ana-nippon-airways/","/mua-them-hanh-ly-ana-nippon-airways","829","17517","0.04732545527202146","7.235656790546327","true","/mua-them-hanh-ly","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi ana | mua thêm hành lý ký gửi ana bao nhiều tiền | ana airline hành lý | dai ly nippon airways | kích thước hành lý ký gửi ana"
"https://khangvuongbooking.com/mua-them-hanh-ly-air-asia/","/mua-them-hanh-ly-air-asia","704","30176","0.02332979851537646","6.587155355249204","true","/mua-them-hanh-ly","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi air asia | mua thêm hành lý air asia | giá mua thêm hành lý ký gửi air asia | mua hành lý ký gửi air asia | mua hành lý airasia"
"https://khangvuongbooking.com/mua-them-hanh-ly-japan-airlines/","/mua-them-hanh-ly-japan-airlines","697","11302","0.061670500796319236","8.641390904264732","true","/mua-them-hanh-ly-japan-airlines","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi japan airline | mua thêm hành lý japan airline | quy định hành lý japan airlines | kích thước hành lý ký gửi japan airlines | dai ly japan airlines"
"https://khangvuongbooking.com/mua-them-hanh-ly-turkish-airlines/","/mua-them-hanh-ly-turkish-airlines","616","13506","0.045609358803494746","5.462905375388716","true","/mua-them-hanh-ly-turkish-airlines","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi turkish airline | hành lý ký gửi turkish airlines | turkish airlines hành lý ký gửi | quy định hành lý của turkish airlines | hành lý xách tay turkish airlines"
"https://khangvuongbooking.com/kinh-hai-chuyen-ma-am-o-khach-san-grand-hyatt-dai-bac/","/kinh-hai-chuyen-ma-am-o-khach-san-grand-hyatt-dai-bac","530","4167","0.1271898248140149","10.093352531797457","true","/cam-nang-bay","0","","mapping_defined_unverified","5","grand hyatt đài loan | grandhyatt taipei | khách sạn bên đường tại đài bắc | khách sạn đài bắc | grand hyatt taipei"
"https://khangvuongbooking.com/doi-ve-may-bay-air-asia/","/doi-ve-may-bay-air-asia","476","14255","0.03339179235356016","9.314836899333567","true","/doi-ngay-ve","0","","mapping_defined_unverified","5","phí đổi vé air asia | đổi vé air asia | đổi vé máy bay air asia | doi ve air asia | vé air asia"
"https://khangvuongbooking.com/mua-them-hanh-ly-qatar-airways/","/mua-them-hanh-ly-qatar-airways","469","13667","0.034316236189361235","5.95031828491988","true","/mua-them-hanh-ly-qatar-airways","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi qatar airway giá | mua thêm hành lý qatar airways | mua thêm hành lý ký gửi qatar airway | hãng qatar airways hành lý ký gửi | qatar airways mua thêm hành lý ký gửi"
"https://khangvuongbooking.com/mua-them-hanh-ly-emirates/","/mua-them-hanh-ly-emirates","407","12154","0.03348691788711535","6.206351818331414","true","/mua-them-hanh-ly-emirates","0","","mapping_defined_unverified","5","giá mua thêm hành lý ký gửi emirates | mua thêm hành lý ký gửi emirates | mua thêm hành lý emirates | emirates mua thêm hành lý | hành lý ký gửi emirates"
"https://khangvuongbooking.com/mua-them-hanh-ly-air-china/","/mua-them-hanh-ly-air-china","328","8965","0.0365867261572783","6.975460122699387","true","/mua-them-hanh-ly-air-china","0","","mapping_defined_unverified","5","mua thêm hành lý ký gửi air china | air china hành lý xách tay | mua thêm hành lý air china | quy định hành lý air china | quy định hành lý xách tay air china"
"https://khangvuongbooking.com/mua-them-hanh-ly-sichuan-airlines/","/mua-them-hanh-ly-sichuan-airlines","319","4699","0.06788678442221749","4.739519046605661","true","/mua-them-hanh-ly","0","","mapping_defined_unverified","5","sichuan airlines hành lý | mua thêm hành lý ký gửi sichuan airlines | sichuan airlines, hành lý | hãng sichuan airlines | chi phí bao nhiêu"
